動詞,ます形,ない型,て形 (音便),中文,た形,ます形發音,たい形,命令形,發音
生える,生えます,生えない,生えて,長出、萌生（植物、毛髮等）【自動詞・一段動詞】,生えた,はえます,生えたい,生えろ,はえる
更ける,更けます,更けない,更けて,〈時〉夜深／〈季〉深（秋）【自動詞・一段動詞】,更けた,ふけます,更けたい,更けろ,ふける
剥ける,剥けます,剥けない,剥けて,表皮剝落、脫皮【自動詞・一段動詞】,剥けた,むけます,剥けたい,剥けろ,むける
燃える,燃えます,燃えない,燃えて,燃燒、著火；熱情高漲【自動詞・一段動詞】,燃えた,もえます,燃えたい,燃えろ,もえる
破れる,破れます,破れない,破れて,破裂、破損；敗北（非人為撕破）【自動詞・一段動詞】,破れた,やぶれます,破れたい,破れろ,やぶれる
慌てる,慌てます,慌てない,慌てて,慌張／匆忙【自動詞・一段動詞】,慌てた,あわてます,慌てたい,慌てろ,あわてる
隠れる,隠れます,隠れない,隠れて,躲藏、藏在～後面【自動詞・一段動詞】,隠れた,かくれます,隠れたい,隠れろ,かくれる
外れる,外れます,外れない,外れて,脫落；偏離；沒猜中、落選【自動詞・一段動詞】,外れた,はずれます,外れたい,外れろ,はずれる
離れる,離れます,離れない,離れて,離開、分離；相距【自動詞・一段動詞】,離れた,はなれます,離れたい,離れろ,はなれる
こぼれる,こぼれます,こぼれない,こぼれて,溢出、灑落；不由得流露【自動詞・一段動詞】,こぼれた,こぼれます,こぼれたい,こぼれろ,こぼれる
流れる,流れます,流れない,流れて,流動、漂流；流傳；計畫取消【自動詞・一段動詞】,流れた,ながれます,流れたい,流れろ,ながれる
現れる,現れます,現れない,現れて,出現、顯現；露面【自動詞・一段動詞】,現れた,あらわれます,現れたい,現れろ,あらわれる
分かれる,分かれます,分かれない,分かれて,分開、分岔；出現分歧【自動詞・一段動詞】,分かれた,わかれます,分かれたい,分かれろ,わかれる
握手する,握手します,握手しない,握手して,握手【自動詞・サ變動詞】,握手した,あくしゅします,握手したい,握手しろ,あくしゅする
イライラする,イライラします,イライラしない,イライラして,焦躁、煩躁、不耐煩【自動詞・サ變動詞】,イライラした,イライラします,イライラしたい,イライラしろ,イライラする
詰める,詰めます,詰めない,詰めて,填入、裝滿；縮短；進駐值勤【他動詞・一段動詞】,詰めた,つめます,詰めたい,詰めろ,つめる
巻く,巻きます,巻かない,巻いて,捲／纏、繞／轉、擰／包圍【他動詞・五段動詞】,巻いた,まきます,巻きたい,巻け,まく
張る,張ります,張らない,張って,張開／擴張／覆蓋／拉緊／張貼【他動詞・五段動詞】,張った,はります,張りたい,張れ,はる
蒸す,蒸します,蒸さない,蒸して,蒸～；悶熱（自他兩用）【自他兩用・五段動詞】,蒸した,むします,蒸したい,蒸せ,むす
結ぶ,結びます,結ばない,結んで,繫、結／凝結／締結／結合／連結【他動詞・五段動詞】,結んだ,むすびます,結びたい,結べ,むすぶ
奢る,奢ります,奢らない,奢って,請客／奢侈【他動詞・五段動詞】,奢った,おごります,奢りたい,奢れ,おごる
当たる,当たります,当たらない,当たって,碰到、命中；猜中、中獎；照射【自動詞・五段動詞】,当たった,あたります,当たりたい,当たれ,あたる
間違う,間違います,間違わない,間違って,弄錯、出錯；認錯【自他兩用・五段動詞】,間違った,まちがいます,間違いたい,間違え,まちがう
寄せる,寄せます,寄せない,寄せて,使～靠近、移近；聚集；寄送【他動詞・一段動詞】,寄せた,よせます,寄せたい,寄せろ,よせる
感じる,感じます,感じない,感じて,感覺、感到、感受【他動詞・一段動詞】,感じた,かんじます,感じたい,感じろ,かんじる
通じる,通じます,通じない,通じて,相通／通往／通曉／領會、理解【自動詞・一段動詞】,通じた,つうじます,通じたい,通じろ,つうじる
閉じる,閉じます,閉じない,閉じて,關閉～；合上；（門等）關起來【自他兩用・一段動詞】,閉じた,とじます,閉じたい,閉じろ,とじる
叫ぶ,叫びます,叫ばない,叫んで,喊／叫【他動詞・五段動詞】,叫んだ,さけびます,叫びたい,叫べ,さけぶ
