動詞,ます形,ない型,て形 (音便),中文,た形,ます形發音,たい形,命令形,發音
役立つ,役立ちます,役立たない,役立って,有用／有幫助,役立った,やくだちます,役立ちたい,役立て,やくだつ
弱まる,弱まります,弱まらない,弱まって,減弱／弱化 (發音: よわまる),弱まった,よわまります,弱まりたい,弱まれ,よわまる
強まる,強まります,強まらない,強まって,加強／強化 (發音: つよまる),強まった,つよまります,強まりたい,強まれ,つよまる
繋がる,繋がります,繋がらない,繋がって,連、連結、連接／關聯 (發音: つながる),繋がった,つながります,繋がりたい,繋がれ,つながる
近付く,近付きます,近付かない,近付いて,靠近／接近 (發音: ちかづく),近付いた,ちかづきます,近付きたい,近付け,ちかづく
捕まる,捕まります,捕まらない,捕まって,被抓／被逮,捕まった,つかまります,捕まりたい,捕まれ,つかまる
付き合う,付き合います,付き合わない,付き合って,交往／來往／陪／作伴,付き合った,つきあいます,付き合いたい,付き合え,つきあう
割り込む,割り込みます,割り込まない,割り込んで,插入／插嘴／插隊,割り込んだ,わりこみます,割り込みたい,割り込め,わりこむ
通り越す,通り越します,通り越さない,通り越して,越過／走過／通過 (發音: とおりこす),通り越した,とおりこします,通り越したい,通り越せ,とおりこす
擦れ違う,擦れ違います,擦れ違わない,擦れ違って,擦身而過／錯過 (發音: すれちがう),擦れ違った,すれちがいます,擦れ違いたい,擦れ違え,すれちがう
伸びる,伸びます,伸びない,伸びて,伸長／增長／留長／長進 (發音: のびる),伸びた,のびます,伸びたい,伸びろ,のびる
飽きる,飽きます,飽きない,飽きて,厭、厭膩、厭倦、厭煩,飽きた,あきます,飽きたい,飽きろ,あきる
経る,経ます,経ない,経て,經過（時間／過程／場所） (發音: へる),経た,へます,経たい,経ろ,へる
明ける,明けます,明けない,明けて,結束／破曉／新的開始,明けた,あけます,明けたい,明けろ,あける
切れる,切れます,切れない,切れて,斷掉／過期／售罄／用盡／鋒利 (發音: きれる),切れた,きれます,切れたい,切れろ,きれる
越える,越えます,越えない,越えて,越過／翻越／逾越 (發音: こえる),越えた,こえます,越えたい,越えろ,こえる
覚める,覚めます,覚めない,覚めて,醒來,覚めた,さめます,覚めたい,覚めろ,さめる
冷める,冷めます,冷めない,冷めて,涼掉／冷掉,冷めた,さめます,冷めたい,冷めろ,さめる
炊ける,炊けます,炊けない,炊けて,煮好、煮熟 (發音: たける),炊けた,たけます,炊けたい,炊けろ,たける
煮える,煮えます,煮えない,煮えて,煮熟／煮沸 (發音: にえる),煮えた,にえます,煮えたい,煮えろ,にえる
抜ける,抜けます,抜けない,抜けて,脫落／漏掉／消散／穿過 (發音: ぬける),抜けた,ぬけます,抜けたい,抜けろ,ぬける
溶ける,溶けます,溶けない,溶けて,溶化／溶解 (發音: とける),溶けた,とけます,溶けたい,溶けろ,とける
解ける,解けます,解けない,解けて,解開／解除 (發音: とける),解けた,とけます,解けたい,解けろ,とける
生える,生えます,生えない,生えて,生長／萌芽,生えた,はえます,生えたい,生えろ,はえる
更ける,更けます,更けない,更けて,〈時〉夜深／〈季〉深（秋）,更けた,ふけます,更けたい,更けろ,ふける
剥ける,剥けます,剥けない,剥けて,剝落／脫落 (發音: むける),剥けた,むけます,剥けたい,剥けろ,むける
燃える,燃えます,燃えない,燃えて,燃燒 (發音: もえる),燃えた,もえます,燃えたい,燃えろ,もえる
破れる,破れます,破れない,破れて,破、裂／破裂、破滅／敗、輸,破れた,やぶれます,破れたい,破れろ,やぶれる
慌てる,慌てます,慌てない,慌てて,慌張／匆忙,慌てた,あわてます,慌てたい,慌てろ,あわてる
隠れる,隠れます,隠れない,隠れて,隱藏 (發音: かくれる),隠れた,かくれます,隠れたい,隠れろ,かくれる
外れる,外れます,外れない,外れて,掉落／排除／沒中／偏離,外れた,はずれます,外れたい,外れろ,はずれる
離れる,離れます,離れない,離れて,離開 (發音: はなれる),離れた,はなれます,離れたい,離れろ,はなれる
こぼれる,こぼれます,こぼれない,こぼれて,溢出／灑落 (發音: こぼれる),こぼれた,こぼれます,こぼれたい,こぼれろ,こぼれる
流れる,流れます,流れない,流れて,流過／漂流／流傳／取消,流れた,ながれます,流れたい,流れろ,ながれる
現れる,現れます,現れない,現れて,出現／敗露,現れた,あらわれます,現れたい,現れろ,あらわれる
分かれる,分かれます,分かれない,分かれて,分／分開／分歧 (發音: わかれる),分かれた,わかれます,分かれたい,分かれろ,わかれる
握手する,握手します,握手しない,握手して,握手,握手した,あくしゅします,握手したい,握手しろ,あくしゅする
イライラする,イライラします,イライラしない,イライラして,焦躁、煩躁、不耐煩,イライラした,イライラします,イライラしたい,イライラしろ,イライラする
詰める,詰めます,詰めない,詰めて,填、裝、塞／擠／值勤、待命,詰めた,つめます,詰めたい,詰めろ,つめる
巻く,巻きます,巻かない,巻いて,捲／纏、繞／轉、擰／包圍 (發音: まく),巻いた,まきます,巻きたい,巻け,まく
張る,張ります,張らない,張って,張開／擴張／覆蓋／拉緊／張貼,張った,はります,張りたい,張れ,はる
蒸す,蒸します,蒸さない,蒸して,悶／蒸,蒸した,むします,蒸したい,蒸せ,むす
結ぶ,結びます,結ばない,結んで,繫、結／凝結／締結／結合／連結 (發音: むすぶ),結んだ,むすびます,結びたい,結べ,むすぶ
奢る,奢ります,奢らない,奢って,請客／奢侈,奢った,おごります,奢りたい,奢れ,おごる
当たる,当たります,当たらない,当たって,碰撞／猜中／命中／曬、照 (發音: あたる),当たった,あたります,当たりたい,当たれ,あたる
間違う,間違います,間違わない,間違って,錯誤／搞錯、弄錯,間違った,まちがいます,間違いたい,間違え,まちがう
寄せる,寄せます,寄せない,寄せて,靠近、貼近／集中 (發音: よせる),寄せた,よせます,寄せたい,寄せろ,よせる
感じる,感じます,感じない,感じて,感覺、感到、感受,感じた,かんじます,感じたい,感じろ,かんじる
通じる,通じます,通じない,通じて,相通／通往／通曉／領會、理解,通じた,つうじます,通じたい,通じろ,つうじる
閉じる,閉じます,閉じない,閉じて,閉／合／蓋,閉じた,とじます,閉じたい,閉じろ,とじる
叫ぶ,叫びます,叫ばない,叫んで,喊／叫,叫んだ,さけびます,叫びたい,叫べ,さけぶ
